,True Label,RF Time,Time
0,2.0,0.0,1612686369.6526737
1,2.0,0.0,1612686369.6735544
2,2.0,0.0,1612686369.6925526
3,2.0,0.0,1612686369.7110667
4,2.0,0.0,1612686369.736304
5,2.0,0.0,1612686369.7642138
6,2.0,0.0,1612686369.7947004
7,2.0,1.0,1612686369.8270383
8,2.0,1.0,1612686369.861713
9,2.0,1.0,1612686369.8935637
10,2.0,1.0,1612686369.923365
11,2.0,1.0,1612686369.951744
12,2.0,1.0,1612686369.9773097
13,2.0,1.0,1612686370.0054908
14,2.0,1.0,1612686370.0300367
15,2.0,1.0,1612686370.0534632
16,2.0,1.0,1612686370.078562
17,2.0,1.0,1612686370.1035607
18,2.0,1.0,1612686370.1318395
19,2.0,1.0,1612686370.150692
20,2.0,1.0,1612686370.1760895
21,2.0,1.0,1612686370.2012858
22,2.0,1.0,1612686370.227528
23,2.0,1.0,1612686370.2528162
24,2.0,1.0,1612686370.278739
25,2.0,1.0,1612686370.307474
26,2.0,1.0,1612686370.3316474
27,2.0,1.0,1612686370.353256
28,2.0,1.0,1612686370.3791597
29,2.0,1.0,1612686370.4057448
30,2.0,1.0,1612686370.4329393
31,2.0,1.0,1612686370.458464
32,2.0,1.0,1612686370.484999
33,2.0,1.0,1612686370.5093699
34,2.0,1.0,1612686370.5398781
35,2.0,1.0,1612686370.5588117
36,2.0,1.0,1612686370.5835514
37,2.0,2.0,1612686370.609703
38,2.0,2.0,1612686370.6514378
39,2.0,2.0,1612686370.6754212
40,2.0,2.0,1612686370.699038
41,2.0,2.0,1612686370.7235196
42,2.0,2.0,1612686370.7513309
43,2.0,2.0,1612686370.7784617
44,2.0,2.0,1612686370.802062
45,2.0,2.0,1612686370.8278205
46,2.0,2.0,1612686370.85258
47,2.0,2.0,1612686370.8802726
48,2.0,2.0,1612686370.9065752
49,2.0,2.0,1612686370.936419
50,2.0,2.0,1612686370.9622931
51,2.0,2.0,1612686370.9869552
52,2.0,2.0,1612686371.00597
53,2.0,2.0,1612686371.0296466
54,2.0,2.0,1612686371.0553722
55,2.0,2.0,1612686371.0819016
56,2.0,2.0,1612686371.1064382
57,2.0,2.0,1612686371.1318812
58,2.0,2.0,1612686371.1599462
59,2.0,2.0,1612686371.187118
60,2.0,2.0,1612686371.208552
61,2.0,2.0,1612686371.233066
62,2.0,2.0,1612686371.2592707
63,2.0,2.0,1612686371.2862916
64,2.0,2.0,1612686371.3132575
65,2.0,2.0,1612686371.3409564
66,2.0,2.0,1612686371.3656876
67,2.0,2.0,1612686371.3897464
68,2.0,2.0,1612686371.4105203
69,2.0,2.0,1612686371.4356644
70,2.0,2.0,1612686371.4622266
71,2.0,2.0,1612686371.4871538
72,2.0,2.0,1612686371.5120535
73,2.0,2.0,1612686371.5398335
74,2.0,2.0,1612686371.5649717
75,2.0,2.0,1612686371.5889852
76,2.0,2.0,1612686371.6094394
77,2.0,2.0,1612686371.6350129
78,2.0,2.0,1612686371.6627154
79,2.0,2.0,1612686371.6904128
80,2.0,2.0,1612686371.7186184
81,2.0,2.0,1612686371.7457256
82,2.0,2.0,1612686371.7716687
83,2.0,2.0,1612686371.7967217
84,2.0,2.0,1612686371.8152452
85,2.0,2.0,1612686371.8333423
86,2.0,2.0,1612686371.860014
87,2.0,2.0,1612686371.8855562
88,2.0,2.0,1612686371.9119804
89,2.0,2.0,1612686371.9370356
90,2.0,2.0,1612686371.9628527
91,2.0,2.0,1612686371.9897828
92,2.0,2.0,1612686372.0163956
93,2.0,2.0,1612686372.036065
94,2.0,2.0,1612686372.0593474
95,2.0,2.0,1612686372.0850415
96,2.0,2.0,1612686372.1114028
97,2.0,2.0,1612686372.137503
98,2.0,2.0,1612686372.1669188
99,2.0,2.0,1612686372.1939495
100,2.0,2.0,1612686372.2196372
101,2.0,2.0,1612686372.2390406
102,2.0,2.0,1612686372.2640958
103,2.0,2.0,1612686372.2888846
104,2.0,1.0,1612686372.3174477
105,2.0,1.0,1612686372.3426878
106,2.0,1.0,1612686372.3720062
107,2.0,1.0,1612686372.3975043
108,2.0,1.0,1612686372.4226854
109,2.0,1.0,1612686372.4420307
110,2.0,1.0,1612686372.4673047
111,2.0,1.0,1612686372.493407
112,2.0,1.0,1612686372.5238316
113,2.0,1.0,1612686372.553867
114,2.0,1.0,1612686372.5828488
115,2.0,1.0,1612686372.607998
116,2.0,1.0,1612686372.630963
117,2.0,1.0,1612686372.6524642
118,2.0,1.0,1612686372.6785908
119,2.0,1.0,1612686372.7033353
120,2.0,1.0,1612686372.7278287
121,2.0,1.0,1612686372.7533534
122,2.0,1.0,1612686372.779369
123,2.0,1.0,1612686372.805443
124,2.0,1.0,1612686372.829303
125,2.0,1.0,1612686372.8471859
126,2.0,1.0,1612686372.868456
127,2.0,1.0,1612686372.8920715
128,2.0,1.0,1612686372.9161782
129,2.0,1.0,1612686372.941737
130,2.0,1.0,1612686372.966345
131,2.0,0.0,1612686372.9919415
132,2.0,0.0,1612686373.0172648
133,2.0,0.0,1612686373.0398164
134,2.0,0.0,1612686373.0577116
135,2.0,0.0,1612686373.0767422
136,2.0,0.0,1612686373.101967
137,2.0,0.0,1612686373.129013
138,2.0,0.0,1612686373.1551967
139,2.0,0.0,1612686373.1799135
140,2.0,0.0,1612686373.2055442
141,2.0,0.0,1612686373.2292926
142,2.0,0.0,1612686373.2559278
143,2.0,0.0,1612686373.2819798
144,2.0,0.0,1612686373.3096547
145,2.0,0.0,1612686373.337659
146,2.0,0.0,1612686373.3650126
147,2.0,0.0,1612686373.3925571
148,2.0,0.0,1612686373.4195263
149,2.0,0.0,1612686373.4475248
150,2.0,0.0,1612686373.4742737
151,2.0,0.0,1612686373.5020065
152,2.0,0.0,1612686373.522325
153,2.0,0.0,1612686373.5487797
154,2.0,0.0,1612686373.5755029
155,2.0,0.0,1612686373.6006966
156,2.0,0.0,1612686373.627414
157,2.0,0.0,1612686373.6553428
158,2.0,0.0,1612686373.6874132
159,2.0,0.0,1612686373.7153232
160,2.0,0.0,1612686373.738646
161,2.0,0.0,1612686373.7575347
162,2.0,0.0,1612686373.7841485
163,2.0,0.0,1612686373.8094523
164,2.0,0.0,1612686373.8334954
165,2.0,0.0,1612686373.858699
166,2.0,0.0,1612686373.8829422
167,2.0,0.0,1612686373.9101996
168,2.0,0.0,1612686373.936289
169,2.0,0.0,1612686373.9550984
170,2.0,0.0,1612686373.9798095
171,2.0,0.0,1612686374.005133
172,2.0,0.0,1612686374.0314722
173,2.0,0.0,1612686374.05684
174,2.0,0.0,1612686374.083134
175,2.0,0.0,1612686374.109165
176,2.0,0.0,1612686374.1340418
177,2.0,0.0,1612686374.1555254
178,2.0,0.0,1612686374.173321
179,2.0,0.0,1612686374.1947255
180,2.0,0.0,1612686374.2203605
181,2.0,0.0,1612686374.249949
182,2.0,0.0,1612686374.275592
183,2.0,0.0,1612686374.2997587
184,2.0,0.0,1612686374.3246675
185,2.0,0.0,1612686374.350116
186,2.0,0.0,1612686374.3711252
187,2.0,0.0,1612686374.3887558
188,2.0,0.0,1612686374.4130588
189,2.0,0.0,1612686374.43822
190,2.0,0.0,1612686374.4635737
191,2.0,0.0,1612686374.4891548
192,2.0,0.0,1612686374.512825
193,2.0,0.0,1612686374.5370786
194,2.0,0.0,1612686374.5664477
195,2.0,0.0,1612686374.5874262
196,2.0,0.0,1612686374.6047409
197,2.0,0.0,1612686374.6229713
198,2.0,0.0,1612686374.6473129
199,2.0,0.0,1612686374.67293
200,2.0,0.0,1612686374.699725
201,2.0,0.0,1612686374.7269092
202,2.0,0.0,1612686374.7560742
203,2.0,0.0,1612686374.7813509
204,2.0,0.0,1612686374.808974
205,2.0,0.0,1612686374.8359337
206,2.0,0.0,1612686374.8655787
207,2.0,0.0,1612686374.8922358
208,2.0,0.0,1612686374.9197934
209,2.0,0.0,1612686374.9488363
210,2.0,0.0,1612686374.9757318
211,2.0,0.0,1612686375.003538
212,2.0,0.0,1612686375.0275185
213,2.0,0.0,1612686375.054753
214,2.0,0.0,1612686375.0726423
215,2.0,0.0,1612686375.1000154
216,2.0,0.0,1612686375.1298199
217,2.0,0.0,1612686375.1559906
218,2.0,0.0,1612686375.1824794
219,2.0,0.0,1612686375.2084382
220,2.0,0.0,1612686375.2348862
221,2.0,0.0,1612686375.262719
222,2.0,0.0,1612686375.2826061
223,2.0,0.0,1612686375.3096747
224,2.0,0.0,1612686375.3329058
225,2.0,0.0,1612686375.3585439
226,2.0,0.0,1612686375.3827686
227,2.0,0.0,1612686375.4105828
228,2.0,0.0,1612686375.436353
229,2.0,0.0,1612686375.4619513
230,2.0,0.0,1612686375.4796278
231,2.0,0.0,1612686375.5053658
232,2.0,0.0,1612686375.5313482
233,2.0,0.0,1612686375.5570076
234,2.0,0.0,1612686375.5853384
235,2.0,0.0,1612686375.615177
236,2.0,0.0,1612686375.641407
237,2.0,0.0,1612686375.6654043
238,2.0,0.0,1612686375.6844006
239,2.0,0.0,1612686375.7026396
240,2.0,0.0,1612686375.7237313
241,2.0,0.0,1612686375.7494123
242,2.0,0.0,1612686375.7808485
243,2.0,0.0,1612686375.8100474
244,2.0,0.0,1612686375.8336763
245,2.0,0.0,1612686375.858309
246,2.0,0.0,1612686375.882895
247,2.0,0.0,1612686375.9036498
248,2.0,0.0,1612686375.92176
249,2.0,0.0,1612686375.9465938
250,2.0,0.0,1612686375.9724913
251,2.0,0.0,1612686375.9997559
252,2.0,0.0,1612686376.0269392
253,2.0,0.0,1612686376.0563583
254,2.0,0.0,1612686376.083911
255,2.0,0.0,1612686376.1116145
256,2.0,0.0,1612686376.130646
257,2.0,0.0,1612686376.1487622
258,2.0,0.0,1612686376.1729612
259,2.0,0.0,1612686376.1991289
260,2.0,0.0,1612686376.2242887
261,2.0,0.0,1612686376.2493572
262,2.0,0.0,1612686376.274635
263,2.0,0.0,1612686376.300974
264,2.0,0.0,1612686376.325202
265,2.0,0.0,1612686376.3471708
266,2.0,0.0,1612686376.371156
267,2.0,0.0,1612686376.3977237
268,2.0,0.0,1612686376.4246051
269,2.0,0.0,1612686376.4504013
270,2.0,0.0,1612686376.479013
271,2.0,0.0,1612686376.504475
272,2.0,0.0,1612686376.5301583
273,2.0,0.0,1612686376.5511842
274,2.0,0.0,1612686376.573357
275,2.0,0.0,1612686376.5981183
276,2.0,0.0,1612686376.624317
277,2.0,0.0,1612686376.652137
278,2.0,0.0,1612686376.6786203
279,2.0,0.0,1612686376.703136
280,2.0,0.0,1612686376.731487
281,2.0,0.0,1612686376.756527
282,2.0,0.0,1612686376.7759469
283,2.0,0.0,1612686376.802785
284,2.0,0.0,1612686376.8284318
285,2.0,0.0,1612686376.8554635
286,2.0,0.0,1612686376.8808026
287,2.0,0.0,1612686376.9062922
288,2.0,0.0,1612686376.933698
289,2.0,0.0,1612686376.9592469
290,2.0,0.0,1612686376.9786782
291,2.0,0.0,1612686377.0034645
292,2.0,0.0,1612686377.0297055
293,2.0,0.0,1612686377.0571826
294,2.0,0.0,1612686377.0854306
295,2.0,0.0,1612686377.1128123
296,2.0,0.0,1612686377.1377003
297,2.0,0.0,1612686377.1624134
298,2.0,0.0,1612686377.1818595
299,2.0,0.0,1612686377.2081776
300,2.0,0.0,1612686377.2341177
301,2.0,0.0,1612686377.2618015
302,2.0,0.0,1612686377.2870653
303,2.0,0.0,1612686377.3133035
304,2.0,0.0,1612686377.3396623
305,2.0,0.0,1612686377.3672984
306,2.0,0.0,1612686377.3899927
307,2.0,0.0,1612686377.4160292
308,2.0,0.0,1612686377.4406452
309,2.0,0.0,1612686377.4680917
310,2.0,0.0,1612686377.4934287
311,2.0,0.0,1612686377.5220633
312,2.0,0.0,1612686377.548598
313,2.0,0.0,1612686377.5725882
314,2.0,0.0,1612686377.5941684
315,2.0,0.0,1612686377.6182706
316,2.0,0.0,1612686377.6449497
317,2.0,0.0,1612686377.6733377
318,2.0,0.0,1612686377.6994412
319,2.0,0.0,1612686377.7232697
320,2.0,0.0,1612686377.7488039
321,2.0,0.0,1612686377.7726228
322,2.0,0.0,1612686377.7911084
323,2.0,0.0,1612686377.8165348
324,2.0,0.0,1612686377.8404977
325,2.0,0.0,1612686377.8687212
326,2.0,0.0,1612686377.8930736
